Start,Finish,Steps (count)
21-Jun-2018 23:00,22-Jun-2018 00:00,0.0
22-Jun-2018 00:00,22-Jun-2018 01:00,0.0
22-Jun-2018 01:00,22-Jun-2018 02:00,0.0
22-Jun-2018 02:00,22-Jun-2018 03:00,0.0
22-Jun-2018 03:00,22-Jun-2018 04:00,0.0
22-Jun-2018 04:00,22-Jun-2018 05:00,0.0
22-Jun-2018 05:00,22-Jun-2018 06:00,0.0
22-Jun-2018 06:00,22-Jun-2018 07:00,0.0
22-Jun-2018 07:00,22-Jun-2018 08:00,0.0
22-Jun-2018 08:00,22-Jun-2018 09:00,0.0
22-Jun-2018 09:00,22-Jun-2018 10:00,441.874427214589
22-Jun-2018 10:00,22-Jun-2018 11:00,827.870253303453
22-Jun-2018 11:00,22-Jun-2018 12:00,103.255319481958
22-Jun-2018 12:00,22-Jun-2018 13:00,1428.95045687343
22-Jun-2018 13:00,22-Jun-2018 14:00,1177.23000603946
22-Jun-2018 14:00,22-Jun-2018 15:00,121.819537087114
22-Jun-2018 15:00,22-Jun-2018 16:00,0.0
22-Jun-2018 16:00,22-Jun-2018 17:00,18.0
22-Jun-2018 17:00,22-Jun-2018 18:00,1157.0
22-Jun-2018 18:00,22-Jun-2018 19:00,164.0
22-Jun-2018 19:00,22-Jun-2018 20:00,0.0
22-Jun-2018 20:00,22-Jun-2018 21:00,25.0
22-Jun-2018 21:00,22-Jun-2018 22:00,0.0
22-Jun-2018 22:00,22-Jun-2018 23:00,0.0
22-Jun-2018 23:00,23-Jun-2018 00:00,4.0
23-Jun-2018 00:00,23-Jun-2018 01:00,16.0
23-Jun-2018 01:00,23-Jun-2018 02:00,0.0
23-Jun-2018 02:00,23-Jun-2018 03:00,0.0
23-Jun-2018 03:00,23-Jun-2018 04:00,0.0
23-Jun-2018 04:00,23-Jun-2018 05:00,0.0
23-Jun-2018 05:00,23-Jun-2018 06:00,0.0
23-Jun-2018 06:00,23-Jun-2018 07:00,0.0
23-Jun-2018 07:00,23-Jun-2018 08:00,0.0
23-Jun-2018 08:00,23-Jun-2018 09:00,0.0
23-Jun-2018 09:00,23-Jun-2018 10:00,0.0
23-Jun-2018 10:00,23-Jun-2018 11:00,19.0
23-Jun-2018 11:00,23-Jun-2018 12:00,0.0
23-Jun-2018 12:00,23-Jun-2018 13:00,346.009836831882
23-Jun-2018 13:00,23-Jun-2018 14:00,44.990163168118
23-Jun-2018 14:00,23-Jun-2018 15:00,483.0
23-Jun-2018 15:00,23-Jun-2018 16:00,0.0
23-Jun-2018 16:00,23-Jun-2018 17:00,10.0
23-Jun-2018 17:00,23-Jun-2018 18:00,90.1203502590368
23-Jun-2018 18:00,23-Jun-2018 19:00,164.14508909771
23-Jun-2018 19:00,23-Jun-2018 20:00,87.734560643253
23-Jun-2018 20:00,23-Jun-2018 21:00,372.0
23-Jun-2018 21:00,23-Jun-2018 22:00,0.0
23-Jun-2018 22:00,23-Jun-2018 23:00,126.920689487168
23-Jun-2018 23:00,24-Jun-2018 00:00,127.039035195859
24-Jun-2018 00:00,24-Jun-2018 01:00,18.0402753169726
24-Jun-2018 01:00,24-Jun-2018 02:00,0.0
24-Jun-2018 02:00,24-Jun-2018 03:00,0.0
24-Jun-2018 03:00,24-Jun-2018 04:00,0.0
24-Jun-2018 04:00,24-Jun-2018 05:00,0.0
24-Jun-2018 05:00,24-Jun-2018 06:00,0.0
24-Jun-2018 06:00,24-Jun-2018 07:00,0.0
24-Jun-2018 07:00,24-Jun-2018 08:00,171.0
24-Jun-2018 08:00,24-Jun-2018 09:00,510.0
24-Jun-2018 09:00,24-Jun-2018 10:00,259.0
24-Jun-2018 10:00,24-Jun-2018 11:00,419.0
24-Jun-2018 11:00,24-Jun-2018 12:00,198.0
24-Jun-2018 12:00,24-Jun-2018 13:00,159.863363909732
24-Jun-2018 13:00,24-Jun-2018 14:00,510.136636090268
24-Jun-2018 14:00,24-Jun-2018 15:00,428.0
24-Jun-2018 15:00,24-Jun-2018 16:00,1389.29946692123
24-Jun-2018 16:00,24-Jun-2018 17:00,222.700533078769
24-Jun-2018 17:00,24-Jun-2018 18:00,0.0
24-Jun-2018 18:00,24-Jun-2018 19:00,11.3075167625879
24-Jun-2018 19:00,24-Jun-2018 20:00,54.6924832374121
24-Jun-2018 20:00,24-Jun-2018 21:00,0.0
24-Jun-2018 21:00,24-Jun-2018 22:00,0.0
24-Jun-2018 22:00,24-Jun-2018 23:00,0.0
24-Jun-2018 23:00,25-Jun-2018 00:00,0.0
25-Jun-2018 00:00,25-Jun-2018 01:00,0.0
25-Jun-2018 01:00,25-Jun-2018 02:00,0.0
25-Jun-2018 02:00,25-Jun-2018 03:00,0.0
25-Jun-2018 03:00,25-Jun-2018 04:00,0.0
25-Jun-2018 04:00,25-Jun-2018 05:00,0.0
25-Jun-2018 05:00,25-Jun-2018 06:00,0.0
25-Jun-2018 06:00,25-Jun-2018 07:00,0.0
25-Jun-2018 07:00,25-Jun-2018 08:00,0.0
25-Jun-2018 08:00,25-Jun-2018 09:00,0.0
25-Jun-2018 09:00,25-Jun-2018 10:00,114.0
25-Jun-2018 10:00,25-Jun-2018 11:00,902.0
25-Jun-2018 11:00,25-Jun-2018 12:00,0.0
25-Jun-2018 12:00,25-Jun-2018 13:00,0.0
25-Jun-2018 13:00,25-Jun-2018 14:00,8.0
25-Jun-2018 14:00,25-Jun-2018 15:00,0.0
25-Jun-2018 15:00,25-Jun-2018 16:00,966.0
25-Jun-2018 16:00,25-Jun-2018 17:00,123.0
25-Jun-2018 17:00,25-Jun-2018 18:00,31.0
25-Jun-2018 18:00,25-Jun-2018 19:00,0.0
25-Jun-2018 19:00,25-Jun-2018 20:00,0.0
25-Jun-2018 20:00,25-Jun-2018 21:00,0.0
25-Jun-2018 21:00,25-Jun-2018 22:00,0.0
25-Jun-2018 22:00,25-Jun-2018 23:00,31.0
25-Jun-2018 23:00,26-Jun-2018 00:00,0.0
26-Jun-2018 00:00,26-Jun-2018 01:00,0.0
26-Jun-2018 01:00,26-Jun-2018 02:00,0.0
26-Jun-2018 02:00,26-Jun-2018 03:00,0.0
26-Jun-2018 03:00,26-Jun-2018 04:00,0.0
26-Jun-2018 04:00,26-Jun-2018 05:00,0.0
